"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Central Europe and the Baltics","CEB","Population in urban agglomerations of more than 1 million (% of total population)","EN.URB.MCTY.TL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Specialist surgical workforce (per 100,000 population)","SH.MED.SAOP.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.1438833164073","","","","","",
"Central Europe and the Baltics","CEB","Time to import, documentary compliance (hours)","IC.IMP.TMDC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.527272727272727","0.527272727272727","0.527272727272727","0.527272727272727","0.527272727272727","0.527272727272727",
"Early-demographic dividend","EAR","Annual freshwater withdrawals, total (% of internal resources)","ER.H2O.FWTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Coverage of social insurance programs in poorest quintile (% of population)","per_si_allsi.cov_q1_tot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","SE.TER.CUAT.ST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Industry (including construction), value added per worker (constant 2010 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13036.0170041794","13237.852094723","13258.3890678843","13096.5898089795","13382.100257118","13777.1113801958","13691.0593579585","13575.3230541191","13188.456765324","13300.659912855","12768.3224094557","12532.7998894957","12770.9532787519","12918.6368535941","12999.0463325249","13167.0014776895","13175.7741904619","13252.7966634369","12733.2693272937","12918.0359573622","13045.1317937933","12819.4778530831","12884.7460542842","12963.9252279821","12484.8922741407","12854.3621252049","12925.8020841534","12356.847455093","",
"Early-demographic dividend","EAR","Persistence to last grade of primary, male (% of cohort)","SE.PRM.PRSL.MA.ZS","","","","","","","","","","","50.888069152832","50.6098785400391","50.599048614502","49.4707107543945","50.3864288330078","51.5462684631348","52.7895889282227","55.1107902526855","56.0280303955078","56.1504707336426","56.3578796386719","57.0787696838379","57.2057495117188","58.6996917724609","59.2969017028809","60.6618881225586","62.337718963623","66.4593505859375","66.6004028320313","66.5256729125977","66.8270721435547","66.7981491088867","66.7122421264648","67.2331695556641","66.5393600463867","67.3171768188477","67.4943695068359","67.7413635253906","68.0818328857422","68.4534606933594","67.1806793212891","68.0952301025391","68.3966598510742","69.2638931274414","70.2273864746094","70.8147583007813","71.7680206298828","71.4726181030273","73.1045227050781","74.3938293457031","74.16072","75.14058","75.27794","77.68232","82.53495","81.90648","82.26592","84.12225","","",
"Early-demographic dividend","EAR","Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%)","SH.UHC.NOP1.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.96087721837383","","","","","2.4188139864606","","","","","2.16531333146826","","","","","","","","","",
